geometa,ncdf,eml,ncdf_to_geometa,eml_to_geometa,geometa_to_eml,note
$identificationInfo*/ISODataIdentification$extent*/ISOExtent$geographicElement*/ISOGeographicBoundingBox$northBoundLatitude[formatter=class(%s)<-'decimal'],$geospatial_lat_max,$dataset/$coverage/$geographicCoverage/$boundingCoordinates/$northBoundingCoordinate[formatter=as.numeric(%s)],ok,ok,ok,
$identificationInfo*/ISODataIdentification$extent*/ISOExtent$verticalElement*/ISOVerticalExtent$minimumValue,$geospatial_vertical_min,$dataset/$coverage/$geographicCoverage/$boundingCoordinates/$boundingAltitudes/$altitudeMinimum,ok,ok,ok,
$identificationInfo*/ISODataIdentification$extent*/ISOExtent$verticalElement*/ISOVerticalExtent$maximumValue,$geospatial_vertical_max,$dataset/$coverage/$geographicCoverage/$boundingCoordinates/$boundingAltitudes/$altitudeMaximum,ok,ok,ok,
$identificationInfo*/ISODataIdentification$extent*/ISOExtent$verticalElement*/ISOVerticalExtent$unitOfMeasure,$geospatial_vertical_units,$dataset/$coverage/$geographicCoverage/$boundingCoordinates/$boundingAltitudes/$altitudeUnits,ok,ok,ok,
$identificationInfo*/ISODataIdentification$extent*/ISOExtent$temporalElement*/ISOTemporalExtent$extent/GMLTimePeriod$beginPosition/GMLElement$value[$element=beginPosition],$time_coverage_start,"$dataset/$coverage/$temporalCoverage/$rangeOfDates/$beginDate/$calendarDate[formatter=if(is(%1$s,'POSIXt')) as.character(as.Date(%1$s)) else as.character(%1$s)]",validation issue,ok,ok,"- catch errors when ambiguous values are retrieved from source
- if no temporal extent in OGC, EML elements are created anyway (wrong)"
$identificationInfo*/ISODataIdentification$extent*/ISOExtent$temporalElement*/ISOTemporalExtent$extent/GMLTimePeriod$endPosition/GMLElement$value[$element=endPosition],$time_coverage_end,"$dataset/$coverage/$temporalCoverage/$rangeOfDates/$endDate/$calendarDate[formatter=if(is(%1$s,'POSIXt')) as.character(as.Date(%1$s)) else as.character(%1$s)]",validation issue,ok,ok,"- catch errors when ambiguous values are retrieved from source
- if no temporal extent in OGC, EML elements are created anyway (wrong)"
$identificationInfo*/ISODataIdentification$descriptiveKeywords*/ISOKeywords$keyword[$thesaurusName/ISOCitation$title=Taxonomy|sep= |index=1],,$dataset/$coverage/$taxonomicCoverage/$taxonomicClassification*/$taxonRankValue[$taxonRankName=Genus],NA,ok,ok,
$identificationInfo*/ISODataIdentification$descriptiveKeywords*/ISOKeywords$keyword[$thesaurusName/ISOCitation$title=Taxonomy|sep= |index=2],,$dataset/$coverage/$taxonomicCoverage/$taxonomicClassification*/$taxonomicClassification/$taxonRankValue[$taxonRankName=Species],NA,ok,ok,
$identificationInfo*/ISODataIdentification$descriptiveKeywords*/ISOKeywords$thesaurusName/ISOCitation$title,$keywords_vocabulary,$dataset/$keywordSet*/$keywordThesaurus,?,ok,ok,
$identificationInfo*/ISODataIdentification$descriptiveKeywords*/ISOKeywords$keyword,"$keywords[sep=,]",$dataset/$keywordSet*/$keyword,ok,ok,ok,
$identificationInfo*/ISODataIdentification$resourceConstraints*/ISOLegalConstraints$useLimitation[index=1],$license,$dataset/$intellectualRights,ok,ok,ok,
$identificationInfo*/ISODataIdentification$spatialRepresentationType*/ISOSpatialRepresentationType$attrs/$codeListValue,$netcdf_file_type,,ok,?,?,
$identificationInfo*/ISODataIdentification$spatialRepresentationType*/ISOSpatialRepresentationType$value,$netcdf_file_type,,ok,?,?,
$identificationInfo*/ISODataIdentification$spatialRepresentationType*/ISOSpatialRepresentationType$attrs/$codeListValue,$cdm_data_type,,ok,?,?,
$identificationInfo*/ISODataIdentification$spatialRepresentationType*/ISOSpatialRepresentationType$value,$cdm_data_type,,ok,?,?,
$distributionInfo*/ISODistribution$distributionFormat*/ISOFormat$name,$netcdf_file_type,,ok,?,?,
$dataQualityInfo*/ISODataQuality$lineage/ISOLineage$statement,$history,,ok,?,?,
